metric,metric_label,k,representation_a,representation_a_name,representation_b,representation_b_name,n_pairs,wilcoxon_statistic,p_value_raw,mean_difference_A_minus_B,median_difference_A_minus_B,pct_A_lower,pct_B_lower,pct_tie,rank_biserial_A_minus_B,p_value_holm,significant_holm
absolute_error_days,Absolute error (days),5,qwen3,Qwen3,tfidf,TF-IDF,1942,884501.0,0.5125542309718931,2.17806385169928,0.0,48.043254376931,49.63954685890834,2.317198764160659,0.017359226730909488,1.0,False
absolute_error_days,Absolute error (days),5,bge_m3,BGE-M3,tfidf,TF-IDF,1942,880305.0,0.22256525908923086,-2.0657054582904224,0.0,48.81565396498455,49.38208032955716,1.8022657054582905,-0.032247957706298874,1.0,False
absolute_error_days,Absolute error (days),10,legalbr,LegalBR,e5_base,E5 Base,1942,822110.5,2.282441908737426e-06,-7.837126673532442,-5.449999999999989,53.810504634397525,45.932028836251284,0.25746652935118436,-0.12399458057820308,4.336639626601109e-05,True
absolute_error_days,Absolute error (days),10,legalbr,LegalBR,minilm,MiniLM,1942,832926.0,2.4954358879563987e-05,-6.1953656024716794,-4.949999999999989,53.3470648815654,46.292481977342945,0.3604531410916581,-0.11063489012749055,0.0003992697420730238,True
absolute_error_days,Absolute error (days),10,legalbr,LegalBR,bert_large_pt,BERT Large PT,1942,896375.0,0.13853722704534882,-2.101081359423275,-1.1500000000000057,50.72090628218332,48.71266735324408,0.5664263645726055,-0.038918248946844175,1.0,False
absolute_error_days,Absolute error (days),10,legalbr,LegalBR,qwen3,Qwen3,1942,906690.0,0.2396326521517751,-1.7853244078269832,-0.09999999999999432,50.0,49.5880535530381,0.4119464469618949,-0.03087147174590959,1.0,False
absolute_error_days,Absolute error (days),10,legalbr,LegalBR,bge_m3,BGE-M3,1942,900252.5,0.12051468995546924,2.007209062821833,1.599999999999966,48.76416065911432,50.9783728115345,0.25746652935118436,0.04072984246275746,1.0,False
absolute_error_days,Absolute error (days),10,legalbr,LegalBR,tfidf,TF-IDF,1942,907688.0,0.3266139064992748,-0.30885684860968177,-0.3499999999999943,50.46343975283213,48.918640576725025,0.6179196704428425,-0.02578008656150133,1.0,False
absolute_error_days,Absolute error (days),10,e5_base,E5 Base,minilm,MiniLM,1942,921396.0,0.4405076545296701,1.641761071060762,0.7499999999999716,49.330587023686924,50.51493305870237,0.15447991761071062,0.020224050020469685,1.0,False
absolute_error_days,Absolute error (days),10,e5_base,E5 Base,bert_large_pt,BERT Large PT,1942,849333.5,0.00029359052600724784,5.736045314109167,4.100000000000023,47.27085478887745,52.47167868177137,0.25746652935118436,0.09498692828216795,0.004403857890108717,True
absolute_error_days,Absolute error (days),10,e5_base,E5 Base,qwen3,Qwen3,1942,830145.0,1.080980944924334e-05,6.051802265705459,4.250000000000028,46.03501544799176,53.707518022657055,0.25746652935118436,0.11543336460742491,0.00018376676063713677,True
absolute_error_days,Absolute error (days),10,e5_base,E5 Base,bge_m3,BGE-M3,1942,755619.0,5.000859650131685e-13,9.844335736354276,7.9500000000000455,42.99691040164779,56.436663233779605,0.5664263645726055,0.18983502256417845,1.0501805265276539e-11,True
absolute_error_days,Absolute error (days),10,e5_base,E5 Base,tfidf,TF-IDF,1942,826330.5,6.201327459767431e-06,7.52826982492276,5.5,45.57157569515963,54.11946446961895,0.30895983522142123,0.11858832137965757,0.00011162389427581376,True
absolute_error_days,Absolute error (days),10,minilm,MiniLM,bert_large_pt,BERT Large PT,1942,876356.5,0.019502288609743193,4.0942842430484045,1.25,48.506694129763126,50.9783728115345,0.5149330587023687,0.06135401370336929,0.21452517470717514,False
absolute_error_days,Absolute error (days),10,minilm,MiniLM,qwen3,Qwen3,1942,859492.0,0.0028228929732623366,4.4100411946446965,3.3499999999999943,47.0648815653965,52.368692070030896,0.5664263645726055,0.07846372737283057,0.036697608652410375,True
absolute_error_days,Absolute error (days),10,minilm,MiniLM,bge_m3,BGE-M3,1942,803777.5,6.626018272026597e-08,8.202574665293513,5.899999999999977,44.078269824922764,55.561277033985576,0.3604531410916581,0.14175849403122132,1.3252036544053194e-06,True
absolute_error_days,Absolute error (days),10,minilm,MiniLM,tfidf,TF-IDF,1942,847155.0,0.0009468004436686212,5.886508753861998,2.450000000000017,47.37384140061792,51.8022657054583,0.8238928939237898,0.08697036861002931,0.013255206211360697,True
absolute_error_days,Absolute error (days),10,bert_large_pt,BERT Large PT,qwen3,Qwen3,1942,933580.0,0.9353453293718009,0.3157569515962918,-0.3499999999999943,50.25746652935118,49.330587023686924,0.4119464469618949,0.0021297120212490214,1.0,False
absolute_error_days,Absolute error (days),10,bert_large_pt,BERT Large PT,bge_m3,BGE-M3,1942,873112.0,0.009869449998829547,4.108290422245108,2.1500000000000057,47.94026776519053,51.69927909371782,0.3604531410916581,0.06772588463920388,0.11843339998595456,False
absolute_error_days,Absolute error (days),10,bert_large_pt,BERT Large PT,tfidf,TF-IDF,1942,913948.0,0.4924475592814156,1.7922245108135932,-0.30000000000001137,50.205973223480946,49.12461380020597,0.6694129763130793,0.018044195897361514,1.0,False
absolute_error_days,Absolute error (days),10,qwen3,Qwen3,bge_m3,BGE-M3,1942,879092.5,0.02147688163777415,3.7925334706488165,0.3000000000000398,49.12461380020597,50.46343975283213,0.4119464469618949,0.06036945292855444,0.21476881637774148,False
absolute_error_days,Absolute error (days),10,qwen3,Qwen3,tfidf,TF-IDF,1942,913565.5,0.43554106222175126,1.4764675592173018,0.0,49.94850669412976,49.48506694129763,0.5664263645726055,0.02048681585078586,1.0,False
absolute_error_days,Absolute error (days),10,bge_m3,BGE-M3,tfidf,TF-IDF,1942,898608.0,0.1323365639553493,-2.3160659114315143,-0.8499999999999943,50.8238928939238,48.76416065911432,0.4119464469618949,-0.039510032627081276,1.0,False
absolute_error_days,Absolute error (days),20,legalbr,LegalBR,e5_base,E5 Base,1942,770578.5,3.5046692426002614e-12,-8.74984552008239,-6.625000000000028,55.870236869207005,44.078269824922764,0.051493305870236865,-0.18228471102466107,7.009338485200522e-11,True
absolute_error_days,Absolute error (days),20,legalbr,LegalBR,minilm,MiniLM,1942,810410.0,7.52803130706765e-08,-6.258084449021626,-5.0750000000000455,55.149330587023684,44.850669412976316,0.0,-0.14090190405972905,1.204485009130824e-06,True
absolute_error_days,Absolute error (days),20,legalbr,LegalBR,bert_large_pt,BERT Large PT,1942,881431.5,0.01226572449335747,-2.71408341915551,-1.325000000000017,51.28733264675592,48.71266735324408,0.0,-0.06561354949744336,0.11039152044021723,False
absolute_error_days,Absolute error (days),20,legalbr,LegalBR,qwen3,Qwen3,1942,897064.5,0.06122587143729336,-2.0126930998970143,-2.4000000000000057,51.647785787847575,48.352214212152425,0.0,-0.04904134464578277,0.3673552286237602,False
absolute_error_days,Absolute error (days),20,legalbr,LegalBR,bge_m3,BGE-M3,1942,906625.5,0.170571503316296,1.6229660144181248,1.5249999999999773,48.76416065911432,51.081359423274975,0.15447991761071062,0.035930413700334424,0.85285751658148,False
absolute_error_days,Absolute error (days),20,legalbr,LegalBR,tfidf,TF-IDF,1942,912300.0,0.22358505559420627,-1.3821060762100927,-2.375,52.05973223480947,47.88877445932029,0.051493305870236865,-0.03189401451999803,0.8943402223768251,False
absolute_error_days,Absolute error (days),20,e5_base,E5 Base,minilm,MiniLM,1942,891132.0,0.038059315690031376,2.491761071060762,2.3249999999999886,47.21936148300721,52.72914521112255,0.051493305870236865,0.05435687487365437,0.299034795195807,False
absolute_error_days,Absolute error (days),20,e5_base,E5 Base,bert_large_pt,BERT Large PT,1942,813988.0,2.4337406091949344e-07,6.03576210092688,5.349999999999994,45.15962924819774,54.73738414006179,0.10298661174047373,0.13532932859563304,3.6506109137924014e-06,True
absolute_error_days,Absolute error (days),20,e5_base,E5 Base,qwen3,Qwen3,1942,784359.5,1.9731368580046528e-10,6.737152420185375,5.724999999999994,43.97528321318229,55.92173017507724,0.10298661174047373,0.16680263654084143,3.551646344408375e-09,True
